values,DOTALL,IGNORECASE,keys
AIR FORCE COURT OF CRIMINAL APPEALS,y,y,AIR FORCE COURT OF CRIMINAL APPEALS
ARMED SERVICES BOARD OF CONTRACT APPEALS,y,y,ARMED SERVICES BOARD OF CONTRACT APPEALS
ARMY COURT OF CRIMINAL APPEALS,y,y,ARMY COURT OF CRIMINAL APPEALS
BOARD OF IMMIGRATION APPEALS,y,y,BOARD OF IMMIGRATION APPEALS
BOARD OF VETERANS APPEALS,y,y,BOARD OF VETERANS APPEALS
BOARDS OF CONTRACT APPEALS,y,y,BOARDS OF CONTRACT APPEALS
CIVILIAN BOARD OF CONTRACT APPEALS,y,y,CIVILIAN BOARD OF CONTRACT APPEALS
COAST GUARD,y,y,COAST GUARD
COMMODITY FUTURES TRADING COMMISSION,y,y,COMMODITY FUTURES TRADING COMMISSION
DEPARTMENT OF AGRICULTURE,y,y,DEPARTMENT OF AGRICULTURE
HEALTH AND HUMAN SERVICES,y,y,DEPARTMENT OF HEALTH AND HUMAN SERVICES
HOUSING AND URBAN DEVELOPMENT,y,y,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT
DEPARTMENT OF LABOR,y,y,DEPARTMENT OF LABOR
DEPARTMENT OF THE INTERIOR,y,y,DEPARTMENT OF THE INTERIOR
DEPARTMENT OF INTERIOR,y,y,DEPARTMENT OF THE INTERIOR
DEPARTMENT OF TRANSPORTATION,y,y,DEPARTMENT OF TRANSPORTATION
VETERANS AFFAIRS,y,y,DEPARTMENT OF VETERANS AFFAIRS
DRUG ENFORCEMENT ADMINISTRATION,y,y,DRUG ENFORCEMENT ADMINISTRATION
ENVIRONMENTAL PROTECTION AGENCY,y,y,ENVIRONMENTAL PROTECTION AGENCY
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,y,y,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION
FEDERAL AVIATION ADMINISTRATION,y,y,FEDERAL AVIATION ADMINISTRATION
FEDERAL COMMUNICATIONS COMMISSION,y,y,FEDERAL COMMUNICATIONS COMMISSION
FEDERAL ENERGY REGULATORY COMMISSION,y,y,FEDERAL ENERGY REGULATORY COMMISSION
FEDERAL LABOR RELATIONS AUTHORITY,y,y,FEDERAL LABOR RELATIONS AUTHORITY
FEDERAL MARITIME COMMISSION,y,y,FEDERAL MARITIME COMMISSION
FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION,y,y,FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION
FEDERAL TRADE COMMISSION,y,y,FEDERAL TRADE COMMISSION
FOOD AND DRUG ADMINISTRATION,y,y,FOOD AND DRUG ADMINISTRATION
GENERAL SERVICES ADMINISTRATION,y,y,GENERAL SERVICES ADMINISTRATION
GUANTANAMO MILITARY COMMISSION,y,y,GUANTANAMO MILITARY COMMISSION
INTERNATIONAL TRADE COMMISSION,y,y,INTERNATIONAL TRADE COMMISSION
MERIT SYSTEMS PROTECTION BOARD,y,y,MERIT SYSTEMS PROTECTION BOARD
NATIONAL LABOR RELATIONS BOARD,y,y,NATIONAL LABOR RELATIONS BOARD
NATIONAL TRANSPORTATION SAFETY BOARD,y,y,NATIONAL TRANSPORTATION SAFETY BOARD
NAVY-MARINE CORPS COURT OF CRIMINAL APPEALS,y,y,NAVY-MARINE CORPS COURT OF CRIMINAL APPEALS
NUCLEAR REGULATORY COMMISSION,y,y,NUCLEAR REGULATORY COMMISSION
OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,y,y,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION
OFFICE OF DISPUTE RESOLUTION FOR ACQUISITION,y,y,OFFICE OF DISPUTE RESOLUTION FOR ACQUISITION
OFFICE OF FINANCIAL INSTITUTION ADJUDICATION,y,y,OFFICE OF FINANCIAL INSTITUTION ADJUDICATION
PATENT AND TRADEMARK OFFICE,y,y,PATENT AND TRADEMARK OFFICE
PATENT TRIAL AND APPEAL BOARD,y,y,PATENT TRIAL AND APPEAL BOARD
POSTAL SERVICE,y,y,POSTAL SERVICE
POSTAL SERVICE BOARD OF CONTRACT APPEALS,y,y,POSTAL SERVICE BOARD OF CONTRACT APPEALS
SECURITIES AND EXCHANGE COMMISSION,y,y,SECURITIES AND EXCHANGE COMMISSION
SMALL BUSINESS ADMINISTRATION,y,y,SMALL BUSINESS ADMINISTRATION
SOCIAL SECURITY ADMINISTRATION,y,y,SOCIAL SECURITY ADMINISTRATION
TRADEMARK TRIAL AND APPEAL BOARD,y,y,TRADEMARK TRIAL AND APPEAL BOARD
TVA BOARD OF CONTRACT APPEALS,y,y,TVA BOARD OF CONTRACT APPEALS
COURT OF APPEALS FOR THE ARMED FORCES,y,y,UNITED STATES COURT OF APPEALS FOR THE ARMED FORCES
COURT OF APPEALS FOR VETERANS CLAIMS,y,y,UNITED STATES COURT OF APPEALS FOR VETERANS CLAIMS
COURT OF FEDERAL CLAIMS,y,y,UNITED STATES COURT OF FEDERAL CLAIMS
COURT OF MILITARY COMMISSION REVIEW,y,y,UNITED STATES COURT OF MILITARY COMMISSION REVIEW
UNITED STATES COURTS-MARTIAL,y,y,UNITED STATES COURTS-MARTIAL
INTERNATIONAL TRADE COMMISSION,y,y,UNITED STATES INTERNATIONAL TRADE COMMISSION
MERIT SYSTEMS PROTECTION BOARD,y,y,UNITED STATES MERIT SYSTEMS PROTECTION BOARD
TAX COURT,y,y,UNITED STATES TAX COURT
INTERNAL REVENUE,y,y,INTERNAL REVENUE SERVICE
CENTRAL INTELLIGENCE AGENCY,y,y,CENTRAL INTELLIGENCE AGENCY
UNITED STATES CUSTOMS SERVICE,y,y,UNITED STATES CUSTOMS SERVICE
POSTAL SERVICE,y,y,UNITED STATES POSTAL SERVICE
"BUREAU OF ALCOHOL, TOBACCO AND FIREARMS",y,y,"BUREAU OF ALCOHOL, TOBACCO AND FIREARMS"
"BUREAU OF ALCOHOL, TOBACCO, AND FIREARMS",y,y,"BUREAU OF ALCOHOL, TOBACCO AND FIREARMS"
FEDERAL BUREAU OF INVESTIGATION,y,y,FEDERAL BUREAU OF INVESTIGATION
DEPARTMENT OF THE TREASURY,y,y,DEPARTMENT OF THE TREASURY
HOMELAND SECURITY,y,y,DEPARTMENT OF HOMELAND SECURITY
