keys,DOTALL,IGNORECASE,values
CENTRAL DISTRICT OF CALIFORNIA,y,y,CENTRAL DISTRICT OF CALIFORNIA
CENTRAL DISTRICT OF ILLINOIS,y,y,CENTRAL DISTRICT OF ILLINOIS
EASTERN DISTRICT OF ARKANSAS,y,y,EASTERN DISTRICT OF ARKANSAS
EASTERN DISTRICT OF CALIFORNIA,y,y,EASTERN DISTRICT OF CALIFORNIA
EASTERN DISTRICT OF KENTUCKY,y,y,EASTERN DISTRICT OF KENTUCKY
EASTERN DISTRICT OF LOUISIANA,y,y,EASTERN DISTRICT OF LOUISIANA
EASTERN DISTRICT OF MICHIGAN,y,y,EASTERN DISTRICT OF MICHIGAN
EASTERN DISTRICT OF MISSOURI,y,y,EASTERN DISTRICT OF MISSOURI
EASTERN DISTRICT OF NEW YORK,y,y,EASTERN DISTRICT OF NEW YORK
EASTERN DISTRICT OF NORTH CAROLINA,y,y,EASTERN DISTRICT OF NORTH CAROLINA
EASTERN DISTRICT OF OKLAHOMA,y,y,EASTERN DISTRICT OF OKLAHOMA
EASTERN DISTRICT OF PENNSYLVANIA,y,y,EASTERN DISTRICT OF PENNSYLVANIA
EASTERN DISTRICT OF TENNESSEE,y,y,EASTERN DISTRICT OF TENNESSEE
EASTERN DISTRICT OF TEXAS,y,y,EASTERN DISTRICT OF TEXAS
EASTERN DISTRICT OF VIRGINIA,y,y,EASTERN DISTRICT OF VIRGINIA
EASTERN DISTRICT OF WASHINGTON,y,y,EASTERN DISTRICT OF WASHINGTON
EASTERN DISTRICT OF WISCONSIN,y,y,EASTERN DISTRICT OF WISCONSIN
MIDDLE DISTRICT OF ALABAMA,y,y,MIDDLE DISTRICT OF ALABAMA
MIDDLE DISTRICT OF FLORIDA,y,y,MIDDLE DISTRICT OF FLORIDA
MIDDLE DISTRICT OF GEORGIA,y,y,MIDDLE DISTRICT OF GEORGIA
MIDDLE DISTRICT OF LOUISIANA,y,y,MIDDLE DISTRICT OF LOUISIANA
MIDDLE DISTRICT OF NORTH CAROLINA,y,y,MIDDLE DISTRICT OF NORTH CAROLINA
MIDDLE DISTRICT OF PENNSYLVANIA,y,y,MIDDLE DISTRICT OF PENNSYLVANIA
MIDDLE DISTRICT OF TENNESSEE,y,y,MIDDLE DISTRICT OF TENNESSEE
NORTHERN DISTRICT OF ALABAMA,y,y,NORTHERN DISTRICT OF ALABAMA
NORTHERN DISTRICT OF CALIFORNIA,y,y,NORTHERN DISTRICT OF CALIFORNIA
NORTHERN DISTRICT OF FLORIDA,y,y,NORTHERN DISTRICT OF FLORIDA
NORTHERN DISTRICT OF GEORGIA,y,y,NORTHERN DISTRICT OF GEORGIA
NORTHERN DISTRICT OF ILLINOIS,y,y,NORTHERN DISTRICT OF ILLINOIS
NORTHERN DISTRICT OF INDIANA,y,y,NORTHERN DISTRICT OF INDIANA
NORTHERN DISTRICT OF IOWA,y,y,NORTHERN DISTRICT OF IOWA
NORTHERN DISTRICT OF MISSISSIPPI,y,y,NORTHERN DISTRICT OF MISSISSIPPI
NORTHERN DISTRICT OF NEW YORK,y,y,NORTHERN DISTRICT OF NEW YORK
NORTHERN DISTRICT OF OHIO,y,y,NORTHERN DISTRICT OF OHIO
NORTHERN DISTRICT OF OKLAHOMA,y,y,NORTHERN DISTRICT OF OKLAHOMA
NORTHERN DISTRICT OF TEXAS,y,y,NORTHERN DISTRICT OF TEXAS
NORTHERN DISTRICT OF WEST VIRGINIA,y,y,NORTHERN DISTRICT OF WEST VIRGINIA
SOUTHERN DISTRICT OF ALABAMA,y,y,SOUTHERN DISTRICT OF ALABAMA
SOUTHERN DISTRICT OF CALIFORNIA,y,y,SOUTHERN DISTRICT OF CALIFORNIA
SOUTHERN DISTRICT OF FLORIDA,y,y,SOUTHERN DISTRICT OF FLORIDA
SOUTHERN DISTRICT OF GEORGIA,y,y,SOUTHERN DISTRICT OF GEORGIA
SOUTHERN DISTRICT OF INDIANA,y,y,SOUTHERN DISTRICT OF INDIANA
SOUTHERN DISTRICT OF IOWA,y,y,SOUTHERN DISTRICT OF IOWA
SOUTHERN DISTRICT OF MISSISSIPPI,y,y,SOUTHERN DISTRICT OF MISSISSIPPI
SOUTHERN DISTRICT OF NEW YORK,y,y,SOUTHERN DISTRICT OF NEW YORK
SOUTHERN DISTRICT OF OHIO,y,y,SOUTHERN DISTRICT OF OHIO
SOUTHERN DISTRICT OF TEXAS,y,y,SOUTHERN DISTRICT OF TEXAS
SOUTHERN DISTRICT OF WEST VIRGINIA,y,y,SOUTHERN DISTRICT OF WEST VIRGINIA
WESTERN DISTRICT OF ARKANSAS,y,y,WESTERN DISTRICT OF ARKANSAS
WESTERN DISTRICT OF KENTUCKY,y,y,WESTERN DISTRICT OF KENTUCKY
WESTERN DISTRICT OF LOUISIANA,y,y,WESTERN DISTRICT OF LOUISIANA
WESTERN DISTRICT OF MICHIGAN,y,y,WESTERN DISTRICT OF MICHIGAN
WESTERN DISTRICT OF MISSOURI,y,y,WESTERN DISTRICT OF MISSOURI
WESTERN DISTRICT OF NEW YORK,y,y,WESTERN DISTRICT OF NEW YORK
WESTERN DISTRICT OF NORTH CAROLINA,y,y,WESTERN DISTRICT OF NORTH CAROLINA
WESTERN DISTRICT OF OKLAHOMA,y,y,WESTERN DISTRICT OF OKLAHOMA
WESTERN DISTRICT OF PENNSYLVANIA,y,y,WESTERN DISTRICT OF PENNSYLVANIA
WESTERN DISTRICT OF TENNESSEE,y,y,WESTERN DISTRICT OF TENNESSEE
WESTERN DISTRICT OF TEXAS,y,y,WESTERN DISTRICT OF TEXAS
WESTERN DISTRICT OF VIRGINIA,y,y,WESTERN DISTRICT OF VIRGINIA
WESTERN DISTRICT OF WASHINGTON,y,y,WESTERN DISTRICT OF WASHINGTON
WESTERN DISTRICT OF WISCONSIN,y,y,WESTERN DISTRICT OF WISCONSIN
DISTRICT OF ALASKA,y,y,DISTRICT OF ALASKA
DISTRICT OF ARIZONA,y,y,DISTRICT OF ARIZONA
DISTRICT OF COLORADO,y,y,DISTRICT OF COLORADO
DISTRICT OF CONNECTICUT,y,y,DISTRICT OF CONNECTICUT
DISTRICT OF COLUMBIA,y,y,DISTRICT OF DISTRICT OF COLUMBIA
DISTRICT OF DELAWARE,y,y,DISTRICT OF DELAWARE
DISTRICT OF GUAM,y,y,DISTRICT OF GUAM
DISTRICT OF HAWAII,y,y,DISTRICT OF HAWAII
DISTRICT OF IDAHO,y,y,DISTRICT OF IDAHO
DISTRICT OF KANSAS,y,y,DISTRICT OF KANSAS
DISTRICT OF MAINE,y,y,DISTRICT OF MAINE
DISTRICT OF MARYLAND,y,y,DISTRICT OF MARYLAND
DISTRICT OF MASSACHUSETTS,y,y,DISTRICT OF MASSACHUSETTS
DISTRICT OF MINNESOTA,y,y,DISTRICT OF MINNESOTA
DISTRICT OF MONTANA,y,y,DISTRICT OF MONTANA
DISTRICT OF NEBRASKA,y,y,DISTRICT OF NEBRASKA
DISTRICT OF NEVADA,y,y,DISTRICT OF NEVADA
DISTRICT OF NEW HAMPSHIRE,y,y,DISTRICT OF NEW HAMPSHIRE
DISTRICT OF NEW JERSEY,y,y,DISTRICT OF NEW JERSEY
DISTRICT OF NEW MEXICO,y,y,DISTRICT OF NEW MEXICO
DISTRICT OF NORTH DAKOTA,y,y,DISTRICT OF NORTH DAKOTA
DISTRICT OF OREGON,y,y,DISTRICT OF OREGON
DISTRICT OF PUERTO RICO,y,y,DISTRICT OF PUERTO RICO
DISTRICT OF RHODE ISLAND,y,y,DISTRICT OF RHODE ISLAND
DISTRICT OF SOUTH CAROLINA,y,y,DISTRICT OF SOUTH CAROLINA
DISTRICT OF SOUTH DAKOTA,y,y,DISTRICT OF SOUTH DAKOTA
DISTRICT OF THE CANAL ZONE,y,y,DISTRICT OF THE CANAL ZONE
DISTRICT OF THE NORTHERN MARIANA ISLANDS,y,y,DISTRICT OF THE NORTHERN MARIANA ISLANDS
DISTRICT OF THE VIRGIN ISLANDS,y,y,DISTRICT OF THE VIRGIN ISLANDS
DISTRICT OF UTAH,y,y,DISTRICT OF UTAH
DISTRICT OF VERMONT,y,y,DISTRICT OF VERMONT
DISTRICT OF WYOMING,y,y,DISTRICT OF WYOMING
C.D. CAL.,y,y,CENTRAL DISTRICT OF CALIFORNIA
C.D. ILL.,y,y,CENTRAL DISTRICT OF ILLINOIS
E.D. ARK.,y,y,EASTERN DISTRICT OF ARKANSAS
E.D. CAL.,y,y,EASTERN DISTRICT OF CALIFORNIA
E.D. KY.,y,y,EASTERN DISTRICT OF KENTUCKY
E.D. LA.,y,y,EASTERN DISTRICT OF LOUISIANA
E.D. MICH.,y,y,EASTERN DISTRICT OF MICHIGAN
E.D. MO.,y,y,EASTERN DISTRICT OF MISSOURI
E.D.N.Y.,y,y,EASTERN DISTRICT OF NEW YORK
E.D.N.C.,y,y,EASTERN DISTRICT OF NORTH CAROLINA
E.D. OKLA.,y,y,EASTERN DISTRICT OF OKLAHOMA
E.D. PA.,y,y,EASTERN DISTRICT OF PENNSYLVANIA
E.D. TENN.,y,y,EASTERN DISTRICT OF TENNESSEE
E.D. TEX.,y,y,EASTERN DISTRICT OF TEXAS
E.D. VA.,y,y,EASTERN DISTRICT OF VIRGINIA
E.D. WASH.,y,y,EASTERN DISTRICT OF WASHINGTON
E.D. WIS.,y,y,EASTERN DISTRICT OF WISCONSIN
M.D. ALA.,y,y,MIDDLE DISTRICT OF ALABAMA
M.D. FLA.,y,y,MIDDLE DISTRICT OF FLORIDA
M.D. GA.,y,y,MIDDLE DISTRICT OF GEORGIA
M.D. LA.,y,y,MIDDLE DISTRICT OF LOUISIANA
M.D.N.C.,y,y,MIDDLE DISTRICT OF NORTH CAROLINA
M.D. PA.,y,y,MIDDLE DISTRICT OF PENNSYLVANIA
M.D. TENN.,y,y,MIDDLE DISTRICT OF TENNESSEE
N.D. ALA.,y,y,NORTHERN DISTRICT OF ALABAMA
N.D. CAL.,y,y,NORTHERN DISTRICT OF CALIFORNIA
N.D. FLA.,y,y,NORTHERN DISTRICT OF FLORIDA
N.D. GA.,y,y,NORTHERN DISTRICT OF GEORGIA
N.D. ILL.,y,y,NORTHERN DISTRICT OF ILLINOIS
N.D. IND.,y,y,NORTHERN DISTRICT OF INDIANA
N.D. IOWA,y,y,NORTHERN DISTRICT OF IOWA
N.D. MISS.,y,y,NORTHERN DISTRICT OF MISSISSIPPI
N.D.N.Y.,y,y,NORTHERN DISTRICT OF NEW YORK
N.D. OHIO,y,y,NORTHERN DISTRICT OF OHIO
N.D. OKLA.,y,y,NORTHERN DISTRICT OF OKLAHOMA
N.D. TEX.,y,y,NORTHERN DISTRICT OF TEXAS
N.D.W. VA.,y,y,NORTHERN DISTRICT OF WEST VIRGINIA
S.D. ALA.,y,y,SOUTHERN DISTRICT OF ALABAMA
S.D. CAL.,y,y,SOUTHERN DISTRICT OF CALIFORNIA
S.D. FLA.,y,y,SOUTHERN DISTRICT OF FLORIDA
S.D. GA.,y,y,SOUTHERN DISTRICT OF GEORGIA
S.D. IND.,y,y,SOUTHERN DISTRICT OF INDIANA
S.D. IOWA,y,y,SOUTHERN DISTRICT OF IOWA
S.D. MISS.,y,y,SOUTHERN DISTRICT OF MISSISSIPPI
S.D.N.Y.,y,y,SOUTHERN DISTRICT OF NEW YORK
S.D. OHIO,y,y,SOUTHERN DISTRICT OF OHIO
S.D. TEX.,y,y,SOUTHERN DISTRICT OF TEXAS
S.D.W. VA.,y,y,SOUTHERN DISTRICT OF WEST VIRGINIA
W.D. ARK.,y,y,WESTERN DISTRICT OF ARKANSAS
W.D. KY.,y,y,WESTERN DISTRICT OF KENTUCKY
W.D. LA.,y,y,WESTERN DISTRICT OF LOUISIANA
W.D. MICH.,y,y,WESTERN DISTRICT OF MICHIGAN
W.D. MO.,y,y,WESTERN DISTRICT OF MISSOURI
W.D.N.Y.,y,y,WESTERN DISTRICT OF NEW YORK
W.D.N.C.,y,y,WESTERN DISTRICT OF NORTH CAROLINA
W.D. OKLA.,y,y,WESTERN DISTRICT OF OKLAHOMA
W.D. PA.,y,y,WESTERN DISTRICT OF PENNSYLVANIA
W.D. TENN.,y,y,WESTERN DISTRICT OF TENNESSEE
W.D. TEX.,y,y,WESTERN DISTRICT OF TEXAS
W.D. VA.,y,y,WESTERN DISTRICT OF VIRGINIA
W.D. WASH.,y,y,WESTERN DISTRICT OF WASHINGTON
W.D. WIS.,y,y,WESTERN DISTRICT OF WISCONSIN
D. ALASKA,y,y,DISTRICT OF ALASKA
D. ARIZ.,y,y,DISTRICT OF ARIZONA
D. COLO.,y,y,DISTRICT OF COLORADO
D. CONN.,y,y,DISTRICT OF CONNECTICUT
D.D.C.,y,y,DISTRICT OF DISTRICT OF COLUMBIA
D. DEL.,y,y,DISTRICT OF DELAWARE
D. GUAM,y,y,DISTRICT OF GUAM
D. HAW.,y,y,DISTRICT OF HAWAII
D. IDAHO,y,y,DISTRICT OF IDAHO
D. KAN.,y,y,DISTRICT OF KANSAS
D. ME.,y,y,DISTRICT OF MAINE
D. MD.,y,y,DISTRICT OF MARYLAND
D. MASS.,y,y,DISTRICT OF MASSACHUSETTS
D. MINN.,y,y,DISTRICT OF MINNESOTA
D. MONT.,y,y,DISTRICT OF MONTANA
D. NEB.,y,y,DISTRICT OF NEBRASKA
D. NEV.,y,y,DISTRICT OF NEVADA
D.N.H.,y,y,DISTRICT OF NEW HAMPSHIRE
D.N.J.,y,y,DISTRICT OF NEW JERSEY
D.N.M.,y,y,DISTRICT OF NEW MEXICO
D.N.D.,y,y,DISTRICT OF NORTH DAKOTA
D. OR.,y,y,DISTRICT OF OREGON
D.P.R.,y,y,DISTRICT OF PUERTO RICO
D.R.I.,y,y,DISTRICT OF RHODE ISLAND
D.S.C.,y,y,DISTRICT OF SOUTH CAROLINA
D.S.D.,y,y,DISTRICT OF SOUTH DAKOTA
D.C.Z.,y,y,DISTRICT OF THE CANAL ZONE
D.N. MAR. IS.,y,y,DISTRICT OF THE NORTHERN MARIANA ISLANDS
D.V.I.,y,y,DISTRICT OF THE VIRGIN ISLANDS
D. UTAH,y,y,DISTRICT OF UTAH
D. VT.,y,y,DISTRICT OF VERMONT
D. WYO.,y,y,DISTRICT OF WYOMING
